experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
at,7dpf,round,clear,,,74,96,0:09:00-0:10:00,4.77946,22.737
at,7dpf,round,clear,,,74,96,0:10:00-0:11:00,4.59135,22.5213
at,7dpf,round,clear,,,74,96,0:11:00-0:12:00,2.87135,17.1089
at,7dpf,round,clear,,,192,96,Start-0:01:00,5.60625,30.0199
at,7dpf,round,clear,,,192,96,0:01:00-0:02:00,4.51896,26.8747
at,7dpf,round,clear,,,192,96,0:02:00-0:03:00,3.51583,22.7887
at,7dpf,round,clear,,,192,96,0:03:00-0:04:00,3.23333,21.8688
at,7dpf,round,clear,,,192,96,0:04:00-0:05:00,4.75833,28.5779
at,7dpf,round,clear,,,192,96,0:05:00-0:06:00,5.89917,31.8387
at,7dpf,round,clear,,,192,96,0:06:00-0:07:00,6.16646,33.4315
at,7dpf,round,clear,,,192,96,0:07:00-0:08:00,5.44667,30.8155
at,7dpf,round,clear,,,192,96,0:08:00-0:09:00,1.80417,16.9679
at,7dpf,round,clear,,,192,96,0:09:00-0:10:00,1.44854,15.2637
at,7dpf,round,clear,,,192,96,0:10:00-0:11:00,1.78729,16.8493
at,7dpf,round,clear,,,192,96,0:11:00-0:12:00,1.73687,16.5389
at,7dpf,round,clear,,,94,96,Start-0:01:00,3.14383,19.3794
at,7dpf,round,clear,,,94,96,0:01:00-0:02:00,2.89872,18.3019
at,7dpf,round,clear,,,94,96,0:02:00-0:03:00,4.45574,23.1948
at,7dpf,round,clear,,,94,96,0:03:00-0:04:00,3.85957,22.4842
at,7dpf,round,clear,,,94,96,0:04:00-0:05:00,24.3498,88.9032
at,7dpf,round,clear,,,94,96,0:05:00-0:06:00,24.82,88.4941
at,7dpf,round,clear,,,94,96,0:06:00-0:07:00,23.6783,85.2379
at,7dpf,round,clear,,,94,96,0:07:00-0:08:00,22.8243,85.024
at,7dpf,round,clear,,,94,96,0:08:00-0:09:00,3.60851,21.4055
at,7dpf,round,clear,,,94,96,0:09:00-0:10:00,1.9166,15.0193
at,7dpf,round,clear,,,94,96,0:10:00-0:11:00,2.11149,15.4116
at,7dpf,round,clear,,,94,96,0:11:00-0:12:00,2.94213,18.1945
dwn,5dpf,round,clear,,,24,12,Start-0:04:00,,85.3649
dwn,5dpf,round,clear,,,24,12,0:04:00-0:08:00,,181.7278
dwn,5dpf,round,clear,,,24,12,0:08:00-0:12:00,,76.973
dwn,5dpf,round,clear,,,24,12,0:12:00-0:16:00,,152.4762
dwn,5dpf,round,clear,,,24,12,Start-0:04:00,,97.4279
dwn,5dpf,round,clear,,,24,12,0:04:00-0:08:00,,168.895
dwn,5dpf,round,clear,,,24,12,0:08:00-0:12:00,,46.6049
dwn,5dpf,round,clear,,,24,12,0:12:00-0:16:00,,147.412
dwn,5dpf,round,clear,,,24,12,Start-0:04:00,,309.879
dwn,5dpf,round,clear,,,24,12,0:04:00-0:08:00,,259.384
dwn,5dpf,round,clear,,,24,12,0:08:00-0:12:00,,114.821
dwn,5dpf,round,clear,,,24,12,0:12:00-0:16:00,,278.627
dwn,5dpf,round,clear,,,24,24,Start-0:04:00,,84.5653
dwn,5dpf,round,clear,,,24,24,0:04:00-0:08:00,,188.0209
dwn,5dpf,round,clear,,,24,24,0:08:00-0:12:00,,53.6868
dwn,5dpf,round,clear,,,24,24,0:12:00-0:16:00,,155.936
dwn,5dpf,round,clear,,,24,24,Start-0:04:00,,159.108
dwn,5dpf,round,clear,,,24,24,0:04:00-0:08:00,,181.169
dwn,5dpf,round,clear,,,24,24,0:08:00-0:12:00,,98.0882
dwn,5dpf,round,clear,,,24,24,0:12:00-0:16:00,,169.838
dwn,5dpf,round,clear,,,24,24,Start-0:04:00,,362.375
dwn,5dpf,round,clear,,,24,24,0:04:00-0:08:00,,389.979
dwn,5dpf,round,clear,,,24,24,0:08:00-0:12:00,,95.9944
dwn,5dpf,round,clear,,,24,24,0:12:00-0:16:00,,285.291
